GeneName	Biotype	Position	NR:Seq-id	NR:Score	NR:Evalue	NR:Description	NT:Seq-id	NT:Score	NT:Evalue	NT:Description	Uniprot:UniProtKB-AC	Uniprot:Score	Uniprot:Evalue	Uniprot:Description	COG:gene	COG:Score	COG:Eval	COG:num	Pfam:pfam_ID	Pfam:pfam_Name	Pfam:pfam_Description	GO:biological_process	GO:cellular_component	GO:molecular_function	KEGG:KO	KEGG:Description	Lint1	Lint2	Lint3	Lint4	Lint5	Lint6	Llun1	Llun2	Llun3	Llun4	Llun5	Llun6	LMint1	LMint2	LMint3	LMint4	LMint5	LMint6	LMlun1	LMlun2	LMlun3	LMlun4	LMlun5	LMlun6	Mint1	Mint2	Mint3	Mint4	Mint5	Mint6	Mlun1	Mlun2	Mlun3	Mlun4	Mlun5	Mlun6	MLint1	MLint2	MLint3	MLint4	MLint5	MLint6	MLlun1	MLlun2	MLlun3	MLlun4	MLlun5	MLlun6
pdlim2	protein_coding	chrNC_030679.1:119562823-119570334:+	gi|301606299|ref|XP_002932747.1|	807	1.00E-102	PREDICTED: PDZ and LIM domain protein 2 [Xenopus tropicalis]	gi|847111239|ref|XM_002932701.3|	1268	0	PREDICTED: Xenopus (Silurana) tropicalis PDZ and LIM domain 2 (mystique) (pdlim2), transcript variant X1, mRNA	Q8R1G6	155	7.00E-41	PDZ and LIM domain protein 2	.	.	.	.	pfam00412	LIM	LIM domain. This family represents two copies of the LIM structural domain.	.	GO:0015629|actin cytoskeleton;GO:0030864|cortical actin cytoskeleton;GO:0070062|extracellular exosome;GO:0005925|focal adhesion;GO:0001725|stress fiber;	GO:0008270|zinc ion binding;	.	.	10.68406375	28.96593264	18.7360186	24.37991138	13.79438971	28.07242418	41.99324392	28.37135317	34.57662877	29.36766564	30.16185852	17.05123124	4.974301654	7.539441229	14.52044277	5.979781689	6.64323118	22.11138382	32.65566792	28.81108623	46.33354446	23.48351766	39.0735468	40.18311358	12.90204257	19.19177236	8.215228968	9.943822901	11.35943536	11.65551979	34.98266983	29.97744369	21.75523022	44.00769412	27.20329099	26.10913124	5.910102899	22.91947374	16.75245937	19.02958791	14.98875034	7.659014954	30.46363292	36.63203284	43.1552582	34.68353157	41.58904478	26.23212334
sfrp5	protein_coding	chrNC_030683.1:25554744-25597275:-	gi|52345596|ref|NP_001004846.1|	1579	0	secreted frizzled-related protein 5 precursor [Xenopus tropicalis]	gi|52345595|ref|NM_001004846.1|	1897	0	Xenopus (Silurana) tropicalis secreted frizzled-related protein 5 (sfrp5), mRNA	Q9XSC1	407	7.00E-136	Secreted frizzled-related protein 5	.	.	.	.	pfam01392	Fz	Fz domain. Also known as the CRD (cysteine rich domain), the C6 box in MuSK receptor. This domain of unknown function has been independently identified by several groups. The domain contains 10 conserved cysteines.	GO:0060070|canonical Wnt signaling pathway;GO:0030154|cell differentiation;GO:0007275|multicellular organism development;GO:0090090|negative regulation of canonical Wnt signaling pathway;GO:0035414|negative regulation of catenin import into nucleus;GO:0008285|negative regulation of cell proliferation;GO:0051898|negative regulation of protein kinase B signaling;GO:0043433|negative regulation of DNA binding transcription factor activity;GO:0030178|negative regulation of Wnt signaling pathway;GO:2000057|negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis;GO:0035567|non-canonical Wnt signaling pathway;	GO:0005576|extracellular region;GO:0016021|integral component of membrane;	GO:0004930|G-protein coupled receptor activity;GO:0042813|Wnt-activated receptor activity;GO:0017147|Wnt-protein binding;	K02222	SFRP5; secreted frizzled-related protein 5	11.21048573	10.13998717	5.777259609	11.65546726	12.90151308	12.7710239	14.12708253	6.040633574	9.789048723	24.04404686	8.625139715	5.27739812	4.094862873	4.775563335	5.106511661	5.532964089	3.660900299	12.88486274	14.2236729	14.73187589	14.83476137	10.24439994	9.89830101	10.00458224	7.568372599	3.108331095	2.676211558	8.789406561	1.037713799	8.183393228	14.47427256	14.51811426	6.738462591	10.01362925	11.82722643	17.49985116	2.378948408	10.53885272	8.669878753	3.643091839	2.011102253	6.585514263	10.19001189	12.70874912	8.795024174	8.029401835	8.825416646	6.893125838
adamts1	protein_coding	chrNC_030678.1:13984311-13993034:+	gi|188528959|ref|NP_001120905.1|	4938	0	A disintegrin and metalloproteinase with thrombospondin motifs 1 precursor [Xenopus tropicalis]	gi|188528958|ref|NM_001127433.1|	4466	0	Xenopus tropicalis ADAM metallopeptidase with thrombospondin type 1 motif 1 (adamts1), mRNA	Q9UHI8	1370	0	A disintegrin and metalloproteinase with thrombospondin motifs 1	.	.	.	.	pfam05986	ADAM_spacer1	ADAM-TS Spacer 1. This family represents the Spacer-1 region from the ADAM-TS family of metalloproteinases.	GO:0060347|heart trabecula formation;GO:0007229|integrin-mediated signaling pathway;GO:0001822|kidney development;GO:0008285|negative regulation of cell proliferation;GO:0001542|ovulation from ovarian follicle;	GO:0005604|basement membrane;GO:0005737|cytoplasm;GO:0031410|cytoplasmic vesicle;	GO:0008201|heparin binding;GO:0004222|metalloendopeptidase activity;GO:0008237|metallopeptidase activity;GO:0008270|zinc ion binding;	K08617	ADAMTS1; a disintegrin and metalloproteinase with thrombospondin motifs 1 [EC:3.4.24.-]	10.45270254	6.443738514	6.848347951	8.628051665	10.347726	6.058218017	88.31780154	28.87047729	78.56019101	39.30896644	34.22602432	20.60578473	4.910522011	20.47973099	4.912198874	4.539075408	2.67045166	5.317641893	59.87139654	52.0659273	39.60455915	22.77475398	28.34079574	33.46320063	4.368959789	3.153274716	3.798635485	3.909687332	5.578756581	2.6724549	43.57655888	90.64423189	51.92040992	48.03186597	44.33048356	53.63408515	3.285435756	5.214654849	8.653962375	3.009806312	4.17646159	5.182380674	21.7354817	54.62525832	56.363355	46.18353876	31.61500399	39.79927978
twsg2	protein_coding	chrNC_030677.1:127448458-127457611:-	gi|62751630|ref|NP_001015756.1|	1283	7.00E-175	twisted gastrulation homolog 2 [Xenopus tropicalis]	gi|62751629|ref|NM_001015756.1|	1195	0	Xenopus (Silurana) tropicalis twisted gastrulation homolog 2 (twsg2), mRNA	Q98T88	200	4.00E-60	Twisted gastrulation protein homolog 1-A	.	.	.	.	pfam04668	Tsg	Twisted gastrulation (Tsg) protein conserved region. Tsg was identified in Drosophila as being required to specify the dorsal-most structures in the embryo, for example amnioserosa. Biochemical experiments have revealed three key properties of Tsg: it can synergistically inhibit Dpp/BMP action in both Drosophila and vertebrates by forming a tripartite complete between itself, SOG/chordin and a BMP ligand; Tsg seems to enhance the Tld/BMP-1-mediated cleavage rate of SOG/chordin and may change the preference of site utilisation; Tsg can promote the dissociation of chordin cysteine-rich-containing fragments from the ligand to inhibit BMP signalling.	GO:0007275|multicellular organism development;	GO:0005576|extracellular region;	.	.	.	5.796882705	4.543058856	4.724378055	5.967830985	3.953011034	3.864599487	62.10200599	54.03202692	53.65208821	63.58597946	53.94574832	46.75062587	11.84317893	12.06976741	6.760303742	9.259092277	8.212510894	6.515429156	93.8313941	88.43012577	63.96922185	53.62482211	74.75210542	88.9577615	6.656553363	3.542589609	9.405314039	7.076476438	13.11693037	6.417915022	67.63715567	59.77644116	55.82911127	78.08399653	55.05465413	63.37796525	3.532427667	6.953617968	5.740341012	5.950266083	6.405234455	4.832348685	46.49833608	72.76028909	54.77713239	74.26786222	64.2267069	57.57980873
insl5	protein_coding	chrNC_030680.1:79760070-79764295:-	gi|512840178|ref|XP_004914375.1|	723	4.00E-89	PREDICTED: insulin-like peptide INSL5 [Xenopus tropicalis]	gi|847119592|ref|XM_004914318.2|	960	0	PREDICTED: Xenopus (Silurana) tropicalis insulin-like 5 (insl5), mRNA	Q5CZK5	88.6	6.00E-19	Insulin-like peptide INSL5	.	.	.	.	pfam00049	Insulin	Insulin/IGF/Relaxin family. Superfamily includes insulins; relaxins; insulin-like growth factor; and bombyxin. All are secreted regulatory hormones. Disulfide rich, all-alpha fold. Alignment includes B chain, linker (which is processed out of the final product), and A chain.	GO:2000253|positive regulation of feeding behavior;	GO:0005576|extracellular region;	GO:0001664|G-protein coupled receptor binding;GO:0005179|hormone activity;	K05255	RLN; relaxin	4.246408991	5.871841404	2.907677602	7.209903429	3.075333011	6.029805617	0.0	0.0	0.031414415	0.0	0.0	0.0	11.24539616	10.73354629	3.121720838	2.975994105	2.764230425	4.855310659	0.0	0.0	0.0	0.0	0.063530042	0.0	6.162027571	12.84808013	3.41124682	6.01625216	11.56879383	19.82615902	0.0	0.033308222	0.0	0.0	0.0	0.0	3.598679508	13.97940868	6.07934117	5.635551854	12.36488974	2.971996466	0.0	0.0	0.065488765	0.0	0.032283103	0.0
c1ql1	protein_coding	chrNC_030686.1:6561657-6590110:-	gi|313760697|ref|NP_001186529.1|	678	4.00E-82	C1q-related factor precursor [Xenopus tropicalis]	gi|313760696|ref|NM_001199600.1|	1319	0	Xenopus (Silurana) tropicalis complement component 1, q subcomponent-like 1 (c1ql1), mRNA	O88992	191	4.00E-55	C1q-related factor	.	.	.	.	pfam00386	C1q	C1q domain. C1q is a subunit of the C1 enzyme complex that activates the serum complement system.	GO:0099558|maintenance of synapse structure;GO:0061743|motor learning;GO:0016322|neuron remodeling;	GO:0044301|climbing fiber;GO:0005581|collagen trimer;GO:0005737|cytoplasm;GO:0098793|presynapse;GO:0043083|synaptic cleft;	GO:0005102|receptor binding;	.	.	12.93083283	11.70283019	15.45036985	11.39280646	8.667851114	8.050289777	5.476572673	5.08984985	5.045546934	9.23189385	2.792200976	3.422737477	31.03807395	17.05123433	17.35287436	29.68105912	18.80652703	11.8081037	12.99432063	7.619495482	4.599785228	7.326406291	3.198784354	3.409098351	17.1875442	13.12636386	17.43431685	17.51653261	53.01916684	14.89269255	8.734122681	20.59216081	10.36245429	7.26546569	12.04595229	8.063501072	15.21936288	11.20838611	15.12573545	13.1215807	20.96038827	19.41560305	11.9683489	13.43585855	3.714800877	8.654756058	4.897009662	13.83045077
prf1	protein_coding	chrNW_016683496.1:365689-374562:+	gi|512869777|ref|XP_002942100.2|	2866	0	PREDICTED: perforin-1-like [Xenopus tropicalis]	gi|847165088|ref|XM_002942054.3|	962	0	PREDICTED: Xenopus (Silurana) tropicalis perforin-1-like (LOC100491518), mRNA	P10820	374	3.00E-119	Perforin-1	.	.	.	.	pfam01823	MACPF	MAC/Perforin domain. The membrane-attack complex (MAC) of the complement system forms transmembrane channels. These channels disrupt the phospholipid bilayer of target cells, leading to cell lysis and death. A number of proteins participate in the assembly of the MAC. Freshly activated C5b binds to C6 to form a C5b-6 complex, then to C7 forming the C5b-7 complex. The C5b-7 complex binds to C8, which is composed of three chains (alpha, beta, and gamma), thus forming the C5b-8 complex. C5b-8 subsequently binds to C9 and acts as a catalyst in the polymerization of C9. Active MAC has a subunit composition of C5b-C6-C7-C8-C9{n}. Perforin is a protein found in cytolytic T-cell and killer cells. In the presence of calcium, perforin polymerizes into transmembrane tubules and is capable of lysing, non-specifically, a variety of target cells. There are a number of regions of similarity in the sequences of complement components C6, C7, C8-alpha, C8-beta, C9 and perforin. The X-ray crystal structure of a MACPF domain reveals that it shares a common fold with bacterial cholesterol dependent cytolysins (pfam01289) such as perfringolysin O. Three key pieces of evidence suggests that MACPF domains and CDCs are homologous: Functional similarity (pore formation), conservation of three glycine residues at a hinge in both families and conservation of a complex core fold.	GO:0019835|cytolysis;GO:0002357|defense response to tumor cell;GO:0051607|defense response to virus;GO:0002418|immune response to tumor cell;GO:0001771|immunological synapse formation;GO:0051260|protein homooligomerization;	GO:0044194|cytolytic granule;GO:0031904|endosome lumen;GO:0005576|extracellular region;GO:0016021|integral component of membrane;GO:0016020|membrane;GO:0005886|plasma membrane;	GO:0005509|calcium ion binding;GO:0022829|wide pore channel activity;	K07818	PRF1; perforin 1	19.92357806	3.570128235	5.794201033	3.807526743	5.407563055	8.081843676	8.690356955	3.860370568	3.342855042	6.969234974	4.995455919	6.036709008	1.547045215	9.351739198	2.751394635	3.390769196	1.817398244	2.556576604	3.764581141	5.054484997	3.427165643	4.827649232	3.726846963	3.753690854	2.380348183	1.855734611	2.078109036	2.051918002	3.209000209	2.341804107	3.894872833	5.755827381	2.050571838	2.982920147	5.101222476	4.505235906	2.814167375	2.155490863	3.548124574	4.799633379	3.473854271	5.989670491	3.943550184	10.34407964	3.871532083	5.974116451	4.198691969	7.840758313
thbs2	protein_coding	chrNC_030681.1:40393813-40426951:+	gi|847131343|ref|XP_012819195.1|	5795	0	PREDICTED: thrombospondin-2 [Xenopus tropicalis]	gi|847131342|ref|XM_012963741.1|	3801	0	PREDICTED: Xenopus (Silurana) tropicalis thrombospondin 2 (thbs2), mRNA	P35440	1880	0	Thrombospondin-2	.	.	.	.	pfam05735	TSP_C	Thrombospondin C-terminal region. This region is found at the C-terminus of thrombospondin and related proteins.	GO:0007155|cell adhesion;GO:0016525|negative regulation of angiogenesis;	GO:0031012|extracellular matrix;	GO:0005509|calcium ion binding;GO:0008201|heparin binding;	K04659	THBS2S; thrombospondin 2/3/4/5	3.820375008	17.96845247	3.906633112	5.864114664	5.605961802	6.086960133	14.54922166	5.203253636	8.609738775	11.66035513	9.101071037	6.19068239	3.585831471	5.858534213	3.063245324	5.146274481	3.520422578	2.964022789	6.970189111	9.040823718	11.88328069	6.371415787	11.41025779	13.28153146	4.611158554	1.814623478	1.693192505	1.618657378	4.105448395	1.862728747	9.209228639	8.539306853	5.589437815	9.595080493	8.731086206	7.251998299	5.195989791	7.13001585	6.250968878	4.908030744	6.920552727	4.959185638	6.954633687	16.22793026	6.82856849	12.58227059	7.782375536	11.74323648
nppc	protein_coding	chrNC_030681.1:108233022-108239347:-	gi|163915239|ref|NP_001106395.1|	516	8.00E-59	C-type natriuretic peptide precursor [Xenopus tropicalis]	gi|163915238|ref|NM_001112924.1|	1967	0	Xenopus (Silurana) tropicalis natriuretic peptide C (nppc), mRNA	P40756	161	4.00E-45	C-type natriuretic peptide 2	.	.	.	.	pfam00212	ANP	Atrial natriuretic peptide.	GO:0050880|regulation of blood vessel size;	GO:0005576|extracellular region;	.	.	.	9.162773375	18.63012125	17.22104253	36.93197396	36.27603964	37.41866035	0.794618119	2.67490702	0.581014959	1.524869133	0.665141684	1.227597155	3.262517918	5.991332149	7.321259075	8.437683227	3.911363786	16.54206797	2.277662776	8.66507046	0.885931163	0.750365629	0.910624182	2.351066158	9.619858416	4.717169831	8.422132182	5.405524155	1.066696718	6.845639866	10.20151746	4.18908048	8.662919757	1.0011726	1.823240459	1.29996227	8.708548275	16.96148952	9.259637084	6.567123442	4.430134785	6.090158099	0.512519375	1.65911758	0.484490347	0.846903607	0.149270373	0.939700912
mmp15	protein_coding	chrNC_030680.1:27645917-27683484:+	gi|62860164|ref|NP_001015921.1|	3159	0	matrix metalloproteinase-15 [Xenopus tropicalis]	gi|77682534|ref|NM_001015921.2|	3469	0	Xenopus tropicalis matrix metallopeptidase 15 (mmp15), mRNA	P51511	786	0	Matrix metalloproteinase-15	.	.	.	.	pfam00413	Peptidase_M10	Matrixin. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis.	GO:0006464|cellular protein modification process;GO:0030574|collagen catabolic process;GO:0035987|endodermal cell differentiation;GO:0022617|extracellular matrix disassembly;GO:0006508|proteolysis;GO:0032355|response to estradiol;	GO:0031012|extracellular matrix;GO:0005887|integral component of plasma membrane;GO:0005886|plasma membrane;	GO:0005509|calcium ion binding;GO:0008047|enzyme activator activity;GO:0070006|metalloaminopeptidase activity;GO:0004222|metalloendopeptidase activity;GO:0004252|serine-type endopeptidase activity;GO:0008270|zinc ion binding;	K07995	MMP15; matrix metalloproteinase-15 (membrane-inserted) [EC:3.4.24.-]	12.45086044	8.086168686	8.297001899	10.95538764	6.517352046	8.557129185	10.91999328	9.463323427	9.521067598	11.67456698	9.327912518	6.952518013	19.32427977	10.76288089	15.58944805	16.32009647	14.20087108	12.28513476	8.240587775	8.306910667	9.511607403	6.731114888	8.963375312	10.62808878	13.88397225	12.84447164	14.27721977	14.39716826	19.94412102	20.75399503	7.214633734	7.310202755	6.670657848	10.08330721	6.359153661	7.555540546	15.39544247	16.29704694	16.63130306	16.2052588	20.88923417	21.28342905	6.064733216	12.85732716	8.059097125	11.36987115	8.350435932	7.416793499
rcn3	protein_coding	chrNC_030683.1:102660411-102672722:+	gi|45361627|ref|NP_989389.1|	1645	0	calumenin precursor [Xenopus tropicalis]	gi|847099163|ref|XM_012956681.1|	2285	0	PREDICTED: Xenopus (Silurana) tropicalis reticulocalbin 3, EF-hand calcium binding domain (rcn3), transcript variant X1, mRNA	Q7SXV9	368	2.00E-119	Calumenin-B	.	.	.	.	pfam13499	EF-hand_7	EF-hand domain pair.	.	GO:0005789|endoplasmic reticulum membrane;GO:0005576|extracellular region;GO:0005794|Golgi apparatus;GO:0042470|melanosome;GO:0033018|sarcoplasmic reticulum lumen;	GO:0005509|calcium ion binding;	.	.	1.183176205	1.945658019	1.051394824	5.200443723	3.174024504	3.945986056	31.2225684	27.27307626	15.27944355	38.99524268	22.42967073	28.86287013	2.787717927	9.807295129	2.212621339	2.200571153	2.460222794	6.985564981	32.50084507	38.33129794	47.76399134	34.79239802	24.83612087	62.49812259	11.24308742	2.798152309	6.143342092	7.32551053	5.037170536	3.672310421	53.84853538	46.82327144	27.15097072	37.07675152	31.99801794	24.5778418	1.352941431	1.984624723	2.187558375	3.287958651	2.79361019	2.173728014	11.46924996	34.70345955	16.45320306	28.59467758	14.73386808	16.5666454
tnfsf10l	protein_coding	chrNC_030684.1:18400127-18406521:+	gi|512858823|ref|XP_004916844.1|	1763	0	PREDICTED: tumor necrosis factor ligand superfamily member 10-like isoform X1 [Xenopus tropicalis]	gi|847156288|ref|XM_004916787.2|	1953	0	PREDICTED: Xenopus (Silurana) tropicalis tumor necrosis factor ligand superfamily member 10-like (LOC100497331), transcript variant X1, mRNA	P50591	130	3.00E-32	Tumor necrosis factor ligand superfamily member 10	.	.	.	.	pfam00229	TNF	TNF(tumor Necrosis Factor) family.	GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0097296|activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;GO:0006915|apoptotic process;GO:0007166|cell surface receptor signaling pathway;GO:0007267|cell-cell signaling;GO:0006955|immune response;GO:0008584|male gonad development;GO:1902042|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:0043065|positive regulation of apoptotic process;GO:0043280|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:2001238|positive regulation of extrinsic apoptotic signaling pathway;GO:0043123|positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0090200|positive regulation of release of cytochrome c from mitochondria;GO:1902041|regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:0032868|response to insulin;GO:0007165|signal transduction;	GO:0070062|extracellular exosome;GO:0005576|extracellular region;GO:0005615|extracellular space;GO:0005887|integral component of plasma membrane;	GO:0046872|metal ion binding;GO:0005102|receptor binding;	K04721	TNFSF10, TRAIL; tumor necrosis factor ligand superfamily member 10	114.9281128	52.85094988	103.9682216	41.01956768	37.21758406	51.67253849	12.41497755	8.21169571	11.43438327	10.00165202	6.691856744	4.05167009	84.77999162	150.1912159	83.66733913	83.96051927	104.2875673	67.63023188	15.33434273	13.25686102	8.991148776	10.67773028	12.53285343	10.67240821	67.16571931	104.7925493	75.61691608	77.15429507	67.96439225	60.39326783	14.24682609	17.46059759	15.23473526	9.791089007	10.23203916	11.77952912	90.20885414	77.39763969	107.0097992	130.2759355	123.9934177	163.1527562	17.30130511	14.2724027	12.85860569	20.67846394	10.43498709	15.66536551
gcg	protein_coding	chrNC_030685.1:66971964-66989004:+	gi|55742077|ref|NP_001006913.1|	1426	0	glucagon precursor [Xenopus tropicalis]	gi|55742076|ref|NM_001006912.1|	1344	0	Xenopus (Silurana) tropicalis glucagon (gcg), mRNA	O42143	298	6.00E-101	Glucagon-1	.	.	.	.	pfam00123	Hormone_2	Peptide hormone. This family contains glucagon, GIP, secretin and VIP.	.	GO:0005576|extracellular region;	.	K05259	GCG; glucagon	107.311477	198.8795599	55.62179264	182.6009786	173.0745262	160.4353414	0.0	0.114457655	0.0	0.0	0.0	0.0	93.68734274	22.99891735	135.7088606	64.60648913	100.2256537	186.4057385	0.0	0.039208193	0.0	0.0	0.0	0.04006608	142.6749597	95.47934083	27.57039865	153.8513326	21.11942715	134.0405553	0.041573026	5.456526783	0.115602242	0.0	0.0	0.0	51.62748687	153.7150429	82.64755372	146.6149466	55.69730506	25.94181708	0.0	0.038876921	0.0	0.0	0.03917476	0.039776877
cxcl12	protein_coding	chrNC_030683.1:37782394-37841002:-	gi|62751610|ref|NP_001015764.1|	482	3.00E-53	stromal cell-derived factor 1 precursor [Xenopus tropicalis]	gi|62751609|ref|NM_001015764.1|	2962	0	Xenopus (Silurana) tropicalis chemokine (C-X-C motif) ligand 12 (cxcl12), mRNA	Q5EBF6	190	8.00E-55	Stromal cell-derived factor 1	.	.	.	.	pfam00048	IL8	Small cytokines (intecrine/chemokine), interleukin-8 like. Includes a number of secreted growth factors and interferons involved in mitogenic, chemotactic, and inflammatory activity. Structure contains two highly conserved disulfide bonds.	GO:0007411|axon guidance;GO:0060326|cell chemotaxis;GO:0070098|chemokine-mediated signaling pathway;GO:0007186|G-protein coupled receptor signaling pathway;GO:0006955|immune response;GO:0050930|induction of positive chemotaxis;GO:0006954|inflammatory response;GO:0007509|mesoderm migration involved in gastrulation;GO:0030335|positive regulation of cell migration;	GO:0009897|external side of plasma membrane;GO:0005615|extracellular space;	GO:0042056|chemoattractant activity;GO:0008009|chemokine activity;GO:0045236|CXCR chemokine receptor binding;	K10031	CXCL12; C-X-C motif chemokine 12	36.76552194	21.0836295	29.93336278	31.49701784	30.61877138	21.16802575	243.028183	166.9629715	176.340674	151.3947721	185.4983771	149.7475346	74.57586815	34.43474057	39.86559822	42.72769497	47.49971905	39.21728261	186.7570239	98.38274365	199.2687859	96.62608924	157.5092989	132.2186554	35.93864179	26.36694787	41.31882814	55.08028258	76.83895215	41.71682602	145.7922312	115.214204	80.04909218	176.115735	84.71411645	110.8257122	30.54768948	24.46250617	57.18938198	26.90141005	57.53443859	40.76247659	163.2085788	224.9848818	215.467351	238.8396636	212.1953735	195.7551679
grn	protein_coding	chrNC_030686.1:9263066-9286816:+	gi|133777115|gb|AAH91093.2|	3495	0	GRN protein [Xenopus tropicalis]	gi|60551345|gb|BC091093.1|	1394	0	Xenopus tropicalis GRN protein, mRNA (cDNA clone MGC:108442 IMAGE:7025242), complete cds	P23785	94.7	1.00E-18	Granulins	.	.	.	.	pfam00396	Granulin	Granulin.	GO:0035988|chondrocyte proliferation;GO:0060179|male mating behavior;GO:0061351|neural precursor cell proliferation;GO:0060999|positive regulation of dendritic spine development;GO:0010976|positive regulation of neuron projection development;GO:0032355|response to estradiol;GO:0048488|synaptic vesicle endocytosis;	GO:0005623|cell;GO:0005615|extracellular space;GO:0045202|synapse;	.	.	.	91.3111708	62.51865538	61.86066333	55.14412881	62.50993576	52.65138458	40.2855828	42.95917566	36.86108653	54.62470404	40.22515319	39.52316361	67.76214291	76.31082472	50.03748225	65.62861066	51.71616221	39.65304177	64.04093147	51.86844738	38.17359322	53.63896583	45.0890054	35.70616576	60.41215156	55.41108598	60.62223722	55.51647141	96.57669659	64.31832925	52.33466722	73.74481954	139.6460407	41.36314837	90.07498568	58.82255996	99.18211824	68.10524167	106.818465	72.33338545	98.32711072	75.45111662	58.54150146	35.70447316	44.59200904	38.40468376	39.61552792	36.40363066
lpl	protein_coding	chrNC_030677.1:77715979-77740078:+	gi|301608942|ref|XP_002934038.1|	2530	0	PREDICTED: lipoprotein lipase [Xenopus tropicalis]	gi|847094016|ref|XM_002933992.3|	4999	0	PREDICTED: Xenopus (Silurana) tropicalis lipoprotein lipase (lpl), mRNA	P11602	763	0	Lipoprotein lipase	.	.	.	.	pfam00151	Lipase	Lipase.	GO:0042632|cholesterol homeostasis;GO:0006633|fatty acid biosynthetic process;GO:0090197|positive regulation of chemokine secretion;GO:0010886|positive regulation of cholesterol storage;GO:0010744|positive regulation of macrophage derived foam cell differentiation;GO:0010890|positive regulation of sequestering of triglyceride;GO:0019433|triglyceride catabolic process;GO:0070328|triglyceride homeostasis;GO:0034372|very-low-density lipoprotein particle remodeling;	GO:0031225|anchored component of membrane;GO:0009986|cell surface;GO:0042627|chylomicron;GO:0070062|extracellular exosome;GO:0005615|extracellular space;GO:0005886|plasma membrane;GO:0034361|very-low-density lipoprotein particle;	GO:0008201|heparin binding;GO:0004465|lipoprotein lipase activity;	K01059	LPL; lipoprotein lipase [EC:3.1.1.34]	5.248613667	4.957863834	9.082369477	3.119169547	2.486733234	4.16875599	51.064497	29.00147256	39.56217329	32.95313436	36.1291297	18.13570583	12.00059523	9.382931581	8.208993455	9.8292478	8.991861687	5.858056196	42.43313822	21.18605573	31.38517332	20.06489425	22.92035935	17.38456704	4.375894877	6.055545279	5.866709267	4.962903386	19.24550805	6.125042749	33.43404341	17.31941615	23.39852744	42.73091318	21.02742538	43.79478144	7.134729466	4.78677185	7.677311623	4.409434028	9.799406504	7.410243702	85.74340652	45.6979195	53.96208104	41.50543305	62.00036151	54.83068623
fam3d	protein_coding	chrNW_016683370.1:146777-169411:-	gi|55926084|ref|NP_001007503.1|	1047	9.00E-137	family with sequence similarity 3 member D [Xenopus tropicalis]	gi|847117710|ref|XM_012960902.1|	1886	0	PREDICTED: Xenopus (Silurana) tropicalis family with sequence similarity 3, member D (fam3d), transcript variant X2, mRNA	Q5R5C3	236	3.00E-71	Protein FAM3A	.	.	.	.	pfam09591	DUF2463	Protein of unknown function (DUF2463). This protein is found in eukaryotic, parasitic microsporidia. Its function is unknown.	.	GO:0005576|extracellular region;	.	.	.	22.97711582	74.11369935	39.58840906	52.58043691	79.91921631	47.36162455	0.094871857	0.173568058	0.202326631	0.327229744	0.300807857	0.138794064	12.66525711	67.2913941	21.88229141	16.85018724	14.52447762	27.77354223	0.094422582	0.148642087	0.117526663	0.124428359	0.5845278	0.30378884	26.88470701	25.1092063	22.059191	17.36114924	14.20270704	15.28036064	0.472822195	0.398401384	0.175303754	0.292973088	0.187657055	0.523513721	12.31596639	22.05849329	28.08707617	17.14400977	17.15439469	18.02269113	0.209969927	0.117908963	0.241019857	0.14527928	0.148515338	0.120638419
them6	protein_coding	chrNC_030682.1:133746521-133754036:-	gi|847171357|ref|XP_012809068.1|	1097	2.00E-142	PREDICTED: protein THEM6 isoform X1 [Xenopus tropicalis]	gi|187607566|ref|NM_001126505.1|	2145	0	Xenopus tropicalis thioesterase superfamily member 6 (them6), mRNA	B0BLZ5	423	1.00E-143	Protein THEM6	.	.	.	.	pfam13279	4HBT_2	Thioesterase-like superfamily. This family contains a wide variety of enzymes, principally thioesterases. These enzymes are part of the Hotdog fold superfamily.	.	GO:0005576|extracellular region;	.	.	.	10.3632394	9.373229644	5.654003583	9.821926953	14.39052417	10.86662175	7.735291037	7.753084576	5.763281683	6.772157972	5.925116395	6.677825028	2.620405367	8.953946937	6.238881695	5.052402289	2.869445982	7.426115272	5.691418494	6.52767584	5.075841732	5.42414158	5.804010198	5.00287748	7.431244489	5.351623394	4.828392447	4.21468736	5.694899387	4.518180648	7.939242622	7.867241655	8.373098563	6.125554064	6.665541822	7.706527379	4.771299454	7.01569984	8.475511946	3.411562827	3.942889872	4.565421907	4.891345169	5.734845939	7.004436598	6.731834899	5.059430597	5.770213403
