Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length
Q28BT4,CALU_XENTR,reviewed,Calumenin,calu TNeu055n17.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),315
A4IIK7,NDNF_XENTR,reviewed,Protein NDNF,ndnf TNeu083d09,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),570
A0A6I8PU05,A0A6I8PU05_XENTR,unreviewed,92 kDa gelatinase (EC 3.4.24.35) (92 kDa type IV collagenase) (Gelatinase B) (Matrix metalloproteinase-9),mmp9.2 mmp9.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),684
F7C0L1,CRISA_XENTR,reviewed,Allurin (Cysteine-rich secretory protein A) (CRISP-A),crisp-a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),204
B2GU60,B2GU60_XENTR,unreviewed,Enpp2 protein,enpp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),874
A0A5S6MIJ1,A0A5S6MIJ1_XENTR,unreviewed,Angiotensin-converting enzyme (EC 3.4.-.-),mcm6,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),812
A0A6I8QMK6,A0A6I8QMK6_XENTR,unreviewed,Neurotrophin-3 (NT-3),ntf3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),260
A0A6I8SZ65,A0A6I8SZ65_XENTR,unreviewed,Ectonucleotide pyrophosphatase/phosphodiesterase 2,enpp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),867
Q5M7P6,ADCK1_XENTR,reviewed,AarF domain-containing protein kinase 1 (EC 2.7.-.-),adck1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),523
F7EB21,F7EB21_XENTR,unreviewed,Neurotrophin-3 (NT-3),ppip5k1 ntf3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),274
A0A6I8RFR2,A0A6I8RFR2_XENTR,unreviewed,Ectonucleotide pyrophosphatase/phosphodiesterase 2,enpp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),915
A0A6I8S4A5,A0A6I8S4A5_XENTR,unreviewed,92 kDa gelatinase (EC 3.4.24.35) (92 kDa type IV collagenase) (Gelatinase B) (Matrix metalloproteinase-9),mmp9.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),681
A0A6I8PWC3,A0A6I8PWC3_XENTR,unreviewed,92 kDa gelatinase (EC 3.4.24.35) (92 kDa type IV collagenase) (Gelatinase B) (Matrix metalloproteinase-9),mmp9.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),670
A0A6I8SZK6,A0A6I8SZK6_XENTR,unreviewed,92 kDa gelatinase (EC 3.4.24.35) (92 kDa type IV collagenase) (Gelatinase B) (Matrix metalloproteinase-9),mmp9.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),681
A4QNN7,TTHY_XENTR,reviewed,Transthyretin (Prealbumin),ttr,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),151
F6V070,F6V070_XENTR,unreviewed,Fibroblast growth factor (FGF),fgf8,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),241
Q6NVL4,Q6NVL4_XENTR,unreviewed,Nucleobindin-1,nucb1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),475
F7BNZ8,F7BNZ8_XENTR,unreviewed,Ectonucleotide pyrophosphatase/phosphodiesterase 2,enpp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),848
F7E728,SCG3_XENTR,reviewed,Secretogranin-3 (Secretogranin III) (SgIII),scg3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),463
Q6P326,AMI_XENTR,reviewed,Serine protease ami (EC 3.4.21.-),ami,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),265
F7DYW2,F7DYW2_XENTR,unreviewed,Carboxylic ester hydrolase (EC 3.1.1.-),ache,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),600
A0A6I8QX54,A0A6I8QX54_XENTR,unreviewed,Ectonucleotide pyrophosphatase/phosphodiesterase 2,enpp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),858
Q28H35,DAND5_XENTR,reviewed,DAN domain family member 5 (Cerberus-like 2 protein) (Cerl-2),dand5 cerl2 coco TEgg007d24.1 TEgg050n09.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),219
F6Y7J9,F6Y7J9_XENTR,unreviewed,Fibroblast growth factor (FGF),slc4a9 fgf8,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),203
Q5M7S9,TSK_XENTR,reviewed,Tsukushi (Leucine-rich repeat-containing protein 54),tsku lrcc54 tsk,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),350
F6VE55,F6VE55_XENTR,unreviewed,Nidogen 1,rhobtb1 nid1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1230
A0A6I8Q408,A0A6I8Q408_XENTR,unreviewed,92 kDa gelatinase (EC 3.4.24.35) (92 kDa type IV collagenase) (Gelatinase B) (Matrix metalloproteinase-9),mmp9.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),664
A0A6I8Q3S9,A0A6I8Q3S9_XENTR,unreviewed,72 kDa gelatinase (EC 3.4.24.24) (72 kDa type IV collagenase) (Matrix metalloproteinase-2),mmp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),603
Q6P8F3,MK_XENTR,reviewed,Midkine (MK),mdk,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),142
A0A6I8SG02,A0A6I8SG02_XENTR,unreviewed,Plasminogen (EC 3.4.21.7),plg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),800
F7CBF7,F7CBF7_XENTR,unreviewed,Platelet-derived growth factor C,radx pdgfc,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),347
A0A6I8S0N5,A0A6I8S0N5_XENTR,unreviewed,Plasminogen (EC 3.4.21.7),plg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),789
Q5CZL0,Q5CZL0_XENTR,unreviewed,Procollagen C-endopeptidase enhancer,adra1d pcolce,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),470
Q5FVW8,Q5FVW8_XENTR,unreviewed,72 kDa gelatinase (EC 3.4.24.24) (72 kDa type IV collagenase) (Matrix metalloproteinase-2),mmp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),655
Q5M7L4,Q5M7L4_XENTR,unreviewed,Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12),nampt pbef1 TGas102b06.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),491
A0A1B8Y8K7,A0A1B8Y8K7_XENTR,unreviewed,Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8),cxcl8b.2 CXCL8 XB5945946 XB5945946 [provisional:cxcl8] XENTR_v90029245mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),108
A0JP86,LAMC1_XENTR,reviewed,Laminin subunit gamma-1,lamc1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1592
Q6DFQ0,Q6DFQ0_XENTR,unreviewed,"Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (Semaphorin) 3F (Semaphorin 3F like)",sema3fl sema3f,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),695
A4IIA2,IBP2_XENTR,reviewed,Insulin-like growth factor-binding protein 2 (IGF-binding protein 2) (IGFBP-2),igfbp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),284
A0A1B8XW41,A0A1B8XW41_XENTR,unreviewed,Sphingomyelin phosphodiesterase (EC 3.1.4.12),smpd1 XENTR_v90030947mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),582
A9UM79,DRS7C_XENTR,reviewed,Dehydrogenase/reductase SDR family member 7C (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 2),dhrs7c sdr32c2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),311
B7ZTF0,B7ZTF0_XENTR,unreviewed,Dystroglycan (Dystroglycan 1) (Dystrophin-associated glycoprotein 1),dag1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),885
Q6DF53,NBL1_XENTR,reviewed,Neuroblastoma suppressor of tumorigenicity 1,nbl1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),176
F6V5K4,F6V5K4_XENTR,unreviewed,Pentaxin (Pentraxin),vps54 crp crp.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),238
F7D2T0,F7D2T0_XENTR,unreviewed,Uromodulin,umod.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),925
A0A6I8RB92,A0A6I8RB92_XENTR,unreviewed,Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12),nampt,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),474
A0A6I8Q8D6,A0A6I8Q8D6_XENTR,unreviewed,Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12),nampt,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),463
A0A6I8QYC2,A0A6I8QYC2_XENTR,unreviewed,Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12),nampt,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),498
A0A6I8R3M6,A0A6I8R3M6_XENTR,unreviewed,Plasminogen (EC 3.4.21.7),plg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),764
Q6P7M0,Q6P7M0_XENTR,unreviewed,Annexin,anxa2 MGC76145 TNeu054f19.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),340
Q28G34,Q28G34_XENTR,unreviewed,Zona pellucida sperm-binding protein 3,XB5888885 XB5888885 [provisional:zp3] zp3 TGas064e16.1-001,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),462
F6YJT4,F6YJT4_XENTR,unreviewed,Zona pellucida sperm-binding protein 3,zp3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),442
A0A6I8SWA5,A0A6I8SWA5_XENTR,unreviewed,Cholesteryl ester transfer protein,cetp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),496
Q6DIV5,PAMR1_XENTR,reviewed,Inactive serine protease PAMR1 (Peptidase domain-containing protein associated with muscle regeneration 1) (Regeneration-associated muscle protease homolog),pamr1 ramp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),722
A0A6I8S3N0,A0A6I8S3N0_XENTR,unreviewed,72 kDa gelatinase (EC 3.4.24.24) (72 kDa type IV collagenase) (Matrix metalloproteinase-2),mmp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),597
Q5BKN3,Q5BKN3_XENTR,unreviewed,Plasminogen activator (EC 3.4.21.68),plat MGC107814,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),547
F6ZYQ1,F6ZYQ1_XENTR,unreviewed,Transforming growth factor beta,tgfb2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),418
Q5EB42,Q5EB42_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2 MGC97608 XENTR_v90029721mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),471
A0A803JX49,A0A803JX49_XENTR,unreviewed,Zona pellucida sperm-binding protein 3,zp3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),441
Q28HK1,UCMA_XENTR,reviewed,Unique cartilage matrix-associated protein [Cleaved into: Unique cartilage matrix-associated protein C-terminal fragment (Ucma-C) (Gla-rich protein) (GRP)],ucma TTpA007d02.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),138
A0A6I8R415,A0A6I8R415_XENTR,unreviewed,Transforming growth factor beta,tgfb2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),411
A0A1B8Y8P4,A0A1B8Y8P4_XENTR,unreviewed,Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8),LOC100498389 CXCL8 XENTR_v90029244mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),105
A0A6I8SRB8,A0A6I8SRB8_XENTR,unreviewed,72 kDa gelatinase (EC 3.4.24.24) (72 kDa type IV collagenase) (Matrix metalloproteinase-2),mmp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),632
F6YPH7,F6YPH7_XENTR,unreviewed,Bone morphogenetic protein 3,bod1l1 gdf10,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),442
A0A1B8Y8M3,A0A1B8Y8M3_XENTR,unreviewed,Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8),cxcl11 CXCL8 XENTR_v90029261mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),100
A0A1B8Y8M8,A0A1B8Y8M8_XENTR,unreviewed,Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8),LOC101730379 CXCL8 XENTR_v90029246mg,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),95
A0A6I8SLY3,A0A6I8SLY3_XENTR,unreviewed,Ectonucleotide pyrophosphatase/phosphodiesterase 1,enpp1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),891
Q8AWX3,Q8AWX3_XENTR,unreviewed,Zona pellucida sperm-binding protein 3,XB5888885 XB5888885 [provisional:zp3],Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),462
Q5FVX5,AUGN_XENTR,reviewed,Augurin,ecrg4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),135
F7A271,F7A271_XENTR,unreviewed,Plasminogen activator (EC 3.4.21.68),plat,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),560
Q5CZL7,Q5CZL7_XENTR,unreviewed,Follistatin-like 3 (Secreted glycoprotein),fstl3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),255
A0A6I8SMM3,A0A6I8SMM3_XENTR,unreviewed,Laminin subunit alpha 3,lama3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3454
F7AF63,F7AF63_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),467
L7N2P8,L7N2P8_XENTR,unreviewed,Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase),pnliprp2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),447
Q28F39,CC134_XENTR,reviewed,Coiled-coil domain-containing protein 134,ccdc134 TGas125o12.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),229
